reaction	linear_coefficient
EAR180y	[np.float64(0.5681022767471268)]
EAR181x	[np.float64(0.5681022767471268)]
EAR181y	[np.float64(0.5681022767471268)]
EAR40x	[np.float64(0.5681022767471268)]
EAR40y	[np.float64(0.5681022767471268)]
EAR60x	[np.float64(0.5681022767471268)]
FA80ACPHi	[0.3138320455496471]
FACOAE100	[np.float64(0.5681022767471268)]
EAR60y	[np.float64(0.5681022767471268)]
FACOAE120	[np.float64(0.5681022767471268)]
FDMO2	[0.7433294642960308]
FACOAE140	[np.float64(0.5681022767471268)]
FACOAE141	[np.float64(0.5681022767471268)]
FACOAE160	[np.float64(0.5681022767471268)]
EAR80x	[np.float64(0.5681022767471268)]
EAR80y	[np.float64(0.5681022767471268)]
ECAP1pp	[0.7433294642960308]
ECAP2pp	[0.7433294642960308]
FACOAE161	[np.float64(0.5681022767471268)]
FACOAE180	[np.float64(0.5681022767471268)]
ECAP3pp	[0.7433294642960308]
FACOAE181	[np.float64(0.5681022767471268)]
FDMO3	[0.7433294642960308]
FACOAE60	[np.float64(0.5681022767471268)]
FACOAE80	[np.float64(0.5681022767471268)]
ECAtpp	[0.7648977381105616]
ECOAH1	[0.6889145258016037]
ECOAH2	[0.6889145258016037]
ECOAH3	[0.6889145258016037]
FACOAL100t2pp	[0.7257725138043054]
FACOAL120t2pp	[0.7257725138043054]
FACOAL140t2pp	[0.7257725138043054]
FACOAL141t2pp	[0.7257725138043054]
ECOAH4	[0.6889145258016037]
FDMO4	[0.7433294642960308]
ECOAH5	[0.6889145258016037]
